순번,용어,용어설명
2639,단권변압기,각 상 1개의 연속한 권선을 가지며 그 일부가 1차 및 2차의 회로에 공통으로 되어 있는 변압기. 공통부분(분로권선)에는 1차와 2차의 양 전류 의 차가 흐르기 때문에 그 부분의 도선은 단면적이 작은 것으로 된다. 보통의 변압기에 비해 동손이 감소되고 효율이 좋으며 온도상승이 저하되나 1차측에서 이상전압이 발생할 때 2차측 영향과 누설임피던스가 적은데 따른 단락고장시 단락전류가 커지는 단점이 있다. 이러한 단점 때문에 전력용에 서는 승압 또는 강압
2640,단극스위치,"단일 다이나믹 레지스터를 가지는 디지탈-아나로그 변환기, 또는 곱셈 디지탈-아나로그 변환기로 본레지스터는 디지탈 값을 유지하고 있는 레지스터로 사용된다."
2641,단극쌍투개폐기,모든 접점이 한 지점 또는 다른 지점에서 공통의 접점에 연결되어 있는 계전기.
2642,단기간 전압변동,"지속시간에 따라 instantaneous, momentary, temporary 등으로 분류 ※지속시간:0.5c/s～1(or 2)min"
2643,단기공정능력지수,"공정에 외부적 영향, 다시 말해서 온도 변화, 작업자 변경, 원자재 변경 등이 없다고 판단되는 짧은 기간동안의 공정능력을 나타내는 지수."
2644,단기노출(短期露出), 주어진 평균시간 보다 더 적은 기간 노출.<br> An exposure for durations less than the corresponding averaging time. IEEE Std. C95.1 &amp; IEEE/ANSI C.95.3-1991
2645,단독계통,"주파수, 전압, 중성점 접지방식 도는 병렬운전중의 사고 등에 의해 부분적으로 독립되어 운전되고 있는 전력계통. 전력계통은 여러 발전기로서 병렬운 전하는 것이 바람직하다."
2646,단독운전,"1. 전력계통의 사고, 정전작업 등의 이유로 인해 발전기 또는 발전소를 계통으로부터 분리하여 소내부분만 담당하여 운전하는 상태. 사고요인이 해결 되면 계통에 재병입하여 운전할 때까지의 상태를 말한다. 2. 화력발전에서 펌프를 포함하는 여러 개의 기기류를 독립적으로 수동조작하는 운전."
2647,단독운전,분산형 발전 설비가 접속되는 일부 전력 계통이 계통 전원과 분리된 상태에서 분산형 발전 설비에서 선로 부하에 전력 공급 또는 전압을 인가하고 있는 상태
2648,단락,동일한 전압회로에서 절연되어 있는 충전부가 어떠한 원인에 의하여 다른 충전부와 접촉되어 고장이 발생하는 것을 말한다.
2649,무효전력제어기,"전압관리시스템으로부터 출력해야할 목표 무효전력값(Q-LEVEL)을 받아 발전기, FACTS 등 무효전력 보상설비의 자동전압조정기(AVR)의 기준전압 설정치를 제어하는 장치"
2650,문턱값," 1. 관심의 대상이 되는 시스템이나 센서에 의해 탐지될 수 있는 신호의 최소값. 2. 기기를 활성화시키기 위해 사용된 파라미터의 최소값. 3. 여기(勵起)에 의해 요구된 효과가 일어날 수 있는 최소값.<br> 1. The minimum value of a signal that can be detected by the system or sensor under consideration. 2. The minimum value of the parameter used to activate a device. 3. The minimum value a stimulus may have to create a desired effect. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
2651,물차단기,절연유대신에 물을 사용한 것으로 아크에 의해 발생하는 수증기의 취부작용과 냉각작용을 이용한 차단기.
2652,미국 공익사업규제위원회,"각 주의 전기, 가스, 전화, 상수도, 하수도 등의 공급망 사업체로 입법, 사법, 행정부로부터 독립된 준사법권 및 준입법권을 가진 행정위원회의 성격을 가짐"
2653,미국 연방에너지 규제위원회,"전기, 가스, 전화, 상수도, 하수도 등의 공급망 사업체로 입법, 사법, 행정부로부터 독립된 준사법권 및 준입법권을 가진 행정위원회의 성격을 가짐"
2654,미국 전기학회(美國 電氣學會), IRE 와 통합되어 IEEE 로 바뀜.
2655,미국 표준협회(美國 標準協會)," 잠정적인 미국표준을 개발하고 조정하는 절차를 관장하는 미국표준기관.<br> The U.S. standards organization that establishes procedures for the development and coordination of voluntary American National Standards.  <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
2656,미국표준협회(美國標準協會)," NEMA 와 IEEE 에 의해 수행된 권고업무와 연구의 결과로서 개발되고 출판된 전기표준.<br> ANSI C63.2-1987 : 10 kHz ~ 40 GHz 대역에서의 전자파 잡음과 전자기장 세기 측정기에 대한 미국표준협회의 규격.<br> ANSI C63.4-1988 : 저전압 전기, 전자 장치로 부터 10 kHz ~ 1 GHz 대역에서의 전자파 방출에 대한 미국표준 측정 방법.<br> ANSI C63.5-1988 : 전자파 장해 대책에 있어서 복사 방출 측정에 사용되는 안테나의 교정을 위한 표준 규격.<br> ANSI/IEEE Std 100-1988 : 전기, 전자 용어에 대한 IEEE 표준규격 사전.<br> ANSI/EIA/TIA-568 : 다수의 생산자와 공급자 환경하에서, 상업용 건물의 총체적인 전기통신 케이블시스템을 규정하는 미국산업표준. 주 : 1) 이 표준에서는 100 Mb/s 이상을 허용하는 데이터통신 범주를 포함하여, 차폐되지 않은 나선(羅線)쌍 통신선로에 대한 성능을 규정하고 있다. 이 범주는 범주 3, 4, 5 로 지정되어 있으며, 범주 1, 과 2 는 아직 지정되어 있지 않다. 2) 이 표준은 FIPS PUB 174 로 채택되어 왔다.<br> Electrical standard developed and published as a result of recommended practices and studies made by NEMA and IEEE. <br><a href=""javascript:window.open('http://www.cooperpower.com/Library/Glossary/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.cooperpower.com/Library/Glossary/</a><br> ANSI C63.2-1987 : American National Standard Specifications for electromagnetic noise and field-strength instrumentation, 10kHz to 40GHz.<br> ANSI C63.4-1988 : American National Standard Methods of measurments of emission from  low-voltage electrical and electronics equipment in the range of 10kHz to 1GHz.<br> ANSI C63.5-1988 : Standard for calibration of antennas used for radiated emissions measurements in electromagnetic interference control.<br> ANSI/IEEE Std 100-1988 : IEEE Standard dictionary of electrical and electronics terms.  ANSI C63.6-1988, ANSI C63.7-1988<br> ANSI/EIA/TIA-568 : A U.S. industry standard that specifies a generic telecommunications cabling system, which will support a multiproduct, multivendor environment, for commercial buildings. Note 1: The standard specifies performance characteristics for unshielded twisted pair telecommunications cabling, including categories allowing data communications up to 100 Mb/s. These categories are designated 3, 4, and 5. Categories 1 and 2 have not been defined. Note 2: The standard has been adopted as FIPS PUB 174.  <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
2657,미끄럼스위치,조작부를 가로방향으로 미끄러지게 하여 회로를 개폐할 수 있게 한 스위치를 말한다.
2658,미들웨어,"서로 다른 커뮤니케이션 프로토콜, 시스템 아키텍처, 운영체제, 데이타베이스와 다양한 애플리케이션 서비스를 지원하기 위해서 네트웍을 따라 하드웨어에 독립적으로 연결하여 주는 소프트웨어로서  클라이언트/서버를 물리적으로 연결하여 주는 것이 아닌 애플리케이션 내에서의 논리적인 연결을 의미함"
2659,미분탄버너,미분탄을 태우는 버너.
2660,미소신호안정도,"발전기들이 전력계통의 부하증가, 또는 좀더 구체적으로, 상대적으로 작은 외란에 대하여 발전기들은 최대용량보다 상당히 낮은 부하수준에서 운전되 고, 가해진 외란이 발전기를 발전기용량의 상한까지 도달하지 못하는 경우의 안정도."
2661,미터 관리시스템,양방향 데이터 통신을 기반으로 하는 지능형 검침 및 관리시스템
2662,미터서비스 사업자,Utility 및 ESP 사업자를 대신해 고객의 전력사용량 데이터를 측정하고 수집하는 사업자
2663,민자발전,전력산업구조개편에 따른 민간자본의 전력부문 중에서 발전사업에 참여하는 것.
2664,민자발전소,민간자본에 의해 전력을 생산하는 발전소.
2665,민전선,절연피복을 하지 않은 전선. 사람이나 동식물의 혼촉의 위험이 없는 곳에서 사용하며 절연피복이 없어 충분한 이격 거리를 확보하여야 한다.
2666,밀봉계전기,"계전기의 한 종류. 오랜 시간동안 가스 유출을 적게 하기 위해, 봉합이나, 혹은 이와 비슷한 다른 수단으로 완전히 봉인된, 개스가 새지 않는 밀 폐함안에 있다."
2667,바나듐 레독스 플로우 전지,액체상태의 전해질로 바나듐 용액을 사용하며 외부 탱크에 저장돼 있다가 충 · 방전할 때 펌프를 통해 전지 내부로 흐르면서(flow) 전력을 발생하는 장치로 설치비 및 유지비가 저렴하고 안전성이 높으나 에너지 밀도가 낮아 부피가 큰 단점이 있다
2668,바아워상수,"바아워로 표시된, 회전자의 1회전에 상당하는 수치."
2669,바운싱,전반적인 가동부의 진동부의 진동에 기인하는 비교적 긴주기로 접점개폐를 반복하는 현상.
2670,바이어스,연구의 설계 및 실행 과정에서 발생할 수 있는 계통적 오류
2671,개폐충격 보호레벨(개폐충격절연강도),개폐충격절연레벨 참조.
2672,개폐충격방전개시전압,파두(wavefront)의 실질적인 지속 시간이 30㎲를 넘는 충격파의 충격방전개시전압.
2673,개폐충격시험,"송배전계통에서 파두장 250㎲, 파미장 2500㎲를 갖는 전 파형(full wave)의 표준개폐 임펄스를 인가하는 시험. 그러나, 어떤 기구의 규격에서, 실질적인 시험의 경우나 파형의 수정이 불가피한 특별한 절연강도 특성시험에는 수정된 파형을 사용하기도 한다."
2674,개폐충격절연레벨,개폐충격전압인가에 대하여 견딜 수 있는 전력계통기기의 절연강도를 말하며 이때 인가충격전압은 100/1000㎲의 파형의 최대치 kV로서 표시된다.
2675,갤럽핑,전선 표면에 쌓인 눈이 어는 현상 또는 강풍에 의한 진동으로 역하적으로 불안정한 상태. 미풍에 의한 전선진동과는 다르고 비교적 주파수가 낮고 진 폭이 큰 진동 이 발생하기 때문에 자주 송전선의 선간단락사고의 원인이 되고 있다. 그 형상이나 표면의 상태가 공기의 흐름에 대해서 상하 비대칭인 경우 저주파(0.1-5m/s)의 큰 진폭(수십 cm- 수십 m)의 진동이 발생한 다. 실제 전력선에서 갤럽핑 발생의 직접 원인이 되는 공기역학적 비대칭성은 1
2676,갱폼,"사용할 때마다 작은 부재의 조립, 분해를 반복하지 않고 대형화, 단순화 하여 한번에 설치하고 해체하는 거푸집으로 거푸집널과 강지보공으로 이루어 져 옹벽, 피어 등에 사용"
2677,거리계전기,"전압과 전류의 비가 일정값 이하인 경우에 동작하는 계전기. 실제로 전압과 전류의 비는 전기적인 거리, 즉 임피던스를 나타내므로 거리계전기라는 명 칭을 사용하며 송전선의 경우는 선로의 길이가 전기적인 길이에 비례하므로 이 계전기를 사용 용이하게 보호할 수 있게 된다. 거리계전기에는 동작특성에 따라 임피던스형, Mho형, 리액턴스형, 옴형, off-set ㅡmho형 등이 있다."
2678,거리계전방식,"고장시의 전압과 전류를 이용하여 계전기 설치장소에서 고장점까지의 정상임피던스(거리에 관계됨)를 측정하고, 측정에 따라서 동작시한을 정하게 하는 것. 동작시한은 고장점까지의 거리에 직선비례하는것과 거리에 따라서 두개 또는 그 이상의 다른 시한을 적용하는 것이 있다."
2679,거리보호,비 정상적인 상태를 방지하기위한 선로 보호의 한 방법. 보호회로에서 선로종단의 미리 설정된 전기거리와는 다른 비정상적인 상태가 시스템측정에 의 해 알려질때 그러한 비정상적인 상태로 부터 선로를 보호한다.
2680,거리용량병산제,"계약경로 선정법과 우편요금제를 보완하기 위해 제안됨. 투자비 회수의 적절한 측면에서 설득력이 있다. MWW법, ZCM법과 MM법등이 있다."
2681,건기법,수력이 주종을 이루는 계통에서 예비력 결정에 이용하는 방법. 비가 많이 내리지 않는 해에도 원활한 전력수급을 할 수 있도록 예비력을 보유하도록 하는 방법이다.
2682,건물일체형 태양광발전,"빌딩 구조의 일부분에 설치하여 태양광에너지를 이용하는 기술로 빌딩 지붕, 유리창에 설치하는 기술 등이 있음"
2683,건식냉각방식,발전소응축기에서 회수된 열을 냉각탑에서 대류현상에 의해 대기로 방출하도록 설계된 시스템.
2684,건식회로계전기,차단이나 전류생성을 하지 않는 건식 접점이나 비교적 저전압회로에서 비교적 작은 전류에 의해서만 동작하는 접점을 가진 계전기
2685,건조섬락전압,"공기중에서 깨끗하고 건조한 양전극간에 상용주파전압을 가했을 때 섬락이 일어나는 전압. 섭씨 20도의 온도, 1기압, 상대습도 65-85 %일 때의 전압실효값을 표준으로 한다. 온도와 기압이 표준과 다른 경우에는 상대공기밀도에 따 라 보정을 한다."
2686,검루기,비접지 시스템에 접지개소가 있는지 없는지를 나타내는데 사용되는 기구.
2687,검류계전기,"기계 기타장치의 대지와의 절연이 고장났을때 동작하는 계전기. 이 기능은 통상 접지되어 있는 전력시스템에서의 변류기의 2차회로에 접지되어 있는 장 치에는 사용되지 않고, 그 경우 첨자 G 또는 N의 기타장치번호를 사용해야 한다. 즉 변류기의 2차 중성점에는 교류과전류, 시한 계전기 51 N이 접속되어야 한다."
2688,검전기,얇은 금속박 두장을 겹쳐 만든 것으로 물체가 전기를 띠고 있는지를 확인할 수 있는 장치.
2689,과도현상(過渡現狀)&nbsp;," 1. 관심을 갖는 시간에 비해 매우 짧은 시간 동안에 2 개의 연속적인 정상상태 사이에  변화하는 현상 또는 양에 관련되거나 그들을 총칭한다. <br> 2. 뢰 또는 EMP, 스위칭 동작에 의해 발생된 것과 같은 단발성 전자파, 또는 단발성 전압/전류, 전기장/자기장 임펄스 또는 펄스. <br> 1. Pertaining to or designating a phenomenon or a quantity which varies between two consecutive steady states during a time interval short compared with the time-scale of interest. ITU-T K.34, IEV 161-02-01, IEV 702-07-77<br> 2. A single electromagnetic event, or single-shot voltage, current, electric and/or magnetic field impulse or pulse, such as generated by lightning, electromagnetic pulse (EMP) or switching action. IEEE Std. 211-1990"
2690,과도회복전압,"전력 개폐기에서 전류가 차단되는 순간, 회로 개폐 장치의 극(pole)의 양단에 발생하는 전압의 과도치(voltage transient). 이것 은 단자에 발생하는, 과도 전압과 접지 전압의 차이인데 이것은 회로 과도 회복 전압(circuit transient recovery voltage)일 수도 있고, 실제의 과도 회복 전압(acutal transient recovery voltage)일 수도 있다. 다극 차단기(multi pole circu"
2691,과도회복전압상승율,회로 개폐장치의 어느 극의 단자사이에서 전류를 차단했을때에 전압이 상승하는 속도.
2692,과부하계전기,기기 또는 장치가 다룰 수 있는 정상치를 넘은 부하가 되면 동작하는 계전기. 주 회로의 손상을 방지하기 위해 사용하며 부하의 성질에 따라 동작시 간이 지연되는 일도 있다.
2693,과부하보호,전력기기 또는 송배전선로의 과부하상태에 대한 보호. 보호장치로는 주로 반한시(反限時)형계전기 또는 온도계전기가 사용된다. 온도계전기에는 기기에 흐르는 전류의 크기로서 온도상승을 모사(模寫)하는 replica type과 저항-온도 detecter로서 필요한 부분의 실 제온도를 측정하는 방법이 있는데 후자는 냉각계통의 고장으로 인한 과열현상도 검출하며 일반적으로 대형기기보호에 적용된다. 한편 송전선의 단락보효용 거리계전기로서 선로과보호부하를 겸하는
2694,과속도보호,"과속도보호는 원동기로 구동되는 모든 발전기에 적용된다. 발전기에는 조속기(조 속기, Governor)가 있어 평상시 속도를 제어하고 정격출력 운 전중 부하가 갑자기 탈락되어도 Speed가 위험치에 이르지 않도록 설계되어 있으나 과속도에 대한 추가 보호로서 과속도보호장치가 사용된다. 과속도 검출방법으로는 Centrifugal Switch를 이용하는 기계적인 방법과 speed에 비례하는 전압을 발생시키는 Tachometer Dynamo를 발전기 축에"
2695,과여자,발전기의 계자전류가 한도이상 증가하는 상태. 발전기 계자회로의 가열방지를 위해 과여자 제한을 한다.
2696,과열도,과열증기의 온도와 포화된 증기 온도의 차이. 증기는 그 압력에 상당하는 포화온도를 가지고 있는데 어떤 압력에서 이 포화온도보다 높은 온도에 있 는 증기를 과열증기라고 한다.
2697,과열보호,전력기기의 온도와 허용치 이상으로 상승하는 경우에 대한 보호이며 검출방법으로는 Resistance-Temperature-Detctor(R.T.D) 또는 Thermocouple로 온도를 검출하고자 하는 장소에 이설하고 여기 에 Wheatstone Bridge와 Directional Relay를 접 속하는 방법과 과열상태를 검출하고자 하는 회로의 전류를 직접 또는 C.T를 통하여 피보호설비와 가급적 같은 비율로 가열 및 냉각되는 특성의 온도계전기에
2698,과전력 계전기,전력계통의 과전력에 의해서 동작하는 계전기.
2699,과전류,과부하전류 및 단락전류를 말한다.과부하전류
2700,과전류계전기,"단락보호용 계전기의 하나로 계전기에 입력되는 전류가 미리 정해진 값을 넘으면 동작하는 계전기. 송전선로에서는 각종 발전기, 변압기 등의 기기와 선로 뿐만 아니라 배전선로, 배전반 등에도 널리 사용된다. 과부하계전기라고도 한다."
2701,과전류계전방식,용량이 비교적 적은 변압기의 주보호로서 사용되는 외에 차동보호를 하고 있을 경우에도 보호범위 밖의 사고제거가 지연되면 변압기가 이상 과열이 되 는 경우가 있으므로 그것을 방지하는 목적과 차동보호의 후비보호로서 사용된다.
2702,과전류지락계전기,지락계전기의 하나로 과전류계전기의 동작전류를 특별히 작게 한 계전기. 지락고장보호용으로 사용된다.
2703,과전류차단기,"배선용차단기, 퓨즈, 기중차단기(A.C.B)와 같이 과부하전류 및 단락전류를 자동차단하는 기능을 가지는 기구를 말한다. 배선용차단기 및 퓨즈는 일반적으로 단락전류 및 과부하전류에 대하여 보호기능을 갖는다. 단락전류전용의 것도 있으나, 이것은 과전류차단기로는 인정하 지 아니한다. 또, 열동계전기가 붙은 전자개폐기는 일반적으로 과부하전류 보호전용으로서 단락전류에 대한 차단능력은 없다.- 전류제한기는 전력수급거래상 필요에 따 라 설치하는 것으로서"
2704,과전압,교류전압 실효치의 변동 1(혹은) 2 min 이상 1.1 - 1.2
2705,과전압계전기,"단락보호용 계전기의 하나로 일정값 이상의 전압이 인가되었을 때 동작하는 계전기. 일반적으로, 발전기가 무부하로 되었을 경우의 발전기나 부하의 과 전압보호용으로 사용하는 경우가 많다."
2706,"단락,지락","고장의 한 종류로서 단락은 어떤 전압회로의 충전부위가 다른회로의 충전부위와 접촉되는 사고이며, 지락은 절연되어 있는 충전부위가 大地와 접촉 되는 사고"
2707,단락용량,전력계통에서의 3상단락사고시 고장점에 유입하는 가상적인 전력으로 √3×V(정격선간전압)×I(단락전류)로 나타낸다.
2708,단락우선,"지락고장 보호로 지락거리계전기를 사용할때 지락거리계전기는 2상지락고장시 進相에 설치된 지락거리계전기의 overreach 특성 때문에 상대단 변전 소측 외부고장으로 오동작 Trip할 우려가 있어 2상지락고장시는 지락거리계전기의 Trip을 분리하고 단락거리계전기 만으로 Trip하도록 하는 방 식을 말한다. 송전선에 2상지락 fault시에 계전기 b, c상은 그림에서처럼 고장점 저항을 측정한다."
2709,단락전류,전로의 선간이 임피던스가 적은 상태로 접속되었을 경우에 그 부분을 통하여 흐르는 큰 전류를 말한다.
2710,단락전류,"1. 기기의 단자 또는 전기회로가 단락되었을 때 그 단락회로에 흐르는 전류. 2. (공업용 및 상업용 전력시스템) 일반적으로 통상 연속정격의 10배를 넘는다. 3. (변압기, 정류기) 출력직류전류단자가 단락된 때와 정격교류 선전압이 전원단자에 공급될 때에 흐르는 입력교류전류의 정상치이다. 통상, 전류제 한 변압기의 사용시 또는 한류 장치의 검사시에 참조된다."
2711,단락지락,동일한 시간에 단락과 지락고장이 동시에 발생하는 것을 말한다.
2712,단로기,"송배전선이나 변전소의 기기 점검시, 이들을 회로로부터 끊어 놓거나 계통 운용상 회로를 전환하기 위해 설치하는 개폐기. 정격전압에서 단지 충전된 전로를 개폐하기 위해 사용하며, 부하전류의 개폐는 원칙적으로 할 수 없는 개폐장치이다. 단선기라고도 한다. 약어로 DS."
2713,단로장치,"단로기, 차단기 또는 다른 개폐장치의 작동에 의해 접지로부터 단선을 할 수 있는 접지 장치."
2714,단말국,"TRS에서 차량용(10W), 휴대용(3W) 단말기로 단말기 상호간, 단말기와 지령국간 통화를 수행하며 배전자동화용 TRS 무선모뎀 또한 단말국 에 속한다."
2715,단말장치,"배전자동용 25.8KV가스절연부하개폐기(가공용)와 함께 가공배전선로에 설치되어 상시배전선로에 흐르는 전류.전압.전력을 계측하고 배전선로에 부하 전류발생및 사고시 그 상태를 감지하여 주장치에 전송하고 주장치의 제어명령을 수신,개폐기를 조작하여 사고를 최소화 하는데 그역할이 있다"
2716,단모선방식,"하나의 모선을 채택한 모선 방식. 간단한 구성을 가지고 있어 비용은 저렴하지만 설비증설이나 고장, 점검시 모선 전체의 정전을 피할 수 없는 단점 이 있기 때문에 대용량 변전소에는 적합하지 않다."
2717,단모선방식변전소,"송배전선의 인입 또는 인출회선수가 적은 그다지 중요치 않은 곳에서 채용되는 방식의 변전소. 간단한 것과 경제적인 것을 주목적으로 하고 있다. 모 선일부에 고장이 생겼을 때 전정전이 되고, 그 고장이 회복될 때까지 송전할 수 없는 결점이 있다."
2718,단방향접점계전기,계전기의 한 종류. 내부의 모든 접점은 단일 접점 쌍(single contact pair)이다.
2719,단상교류,하나의 회로망에 있어서 하나의 교류전압과 그에 대응하는 전류만이 있는 경우의 교류.
2720,단상교류송전,2줄의 전선에 의하여 단상교류를 전송하는 방식. 한 선을 대지로 보는 단선식과 2선을 사용하는 2선식이 있다. 3상방식보다 효율이 떨어져 거의 사용되지 않는다.
2721,단상대칭분,"(다상전압) 다상전압의 대칭분 가운데, 그 대칭분이 연속하는 요소간 위상차가 파이 라디안이거나, 또는, 그 기수배인 것."
2722,단상삼선식회로,옥내 배선 방식의 하나. 110V의 부하와 220V의 부하를 동시에 사용할 수 있다. 단상 2선식에 비하면 전류가 적으므로 전압 강하나 전력 손 실을 작게 할 수 있다.
2723,단상이선식회로,"저압 배전 선로나 옥내 배선에 쓰이는 전기 회로. 주택의 옥내 배선에 널리 쓰이며, 전선이 두 줄 뿐이므로 시공이나 보수가 간단하다. 안전을 위 해 저압선의 1선에 접지한다."
2724,단상전력,하나의 회로망에서 하나의 교류전압과 그에 대응하는 전류만 있는 경우에서의 전력.
2725,단상회로,"단상 교류 기전력에 의해 전원이 공급되는 회로. 일반적으로 두 권선을 통해 전력이 공급되며, 이 때 전원으로부터 흘러가는 전류는 각 권선 사이 에 180도 또는 반 사이클의 위상차를 갖는다."
2726,단선도,"3상 평형 정현파 시스템에서 3상 또는 3선을 단순히 하나의 선으로 표시하고, 전기기기의 존재 및 상호 접속관계를 단선으로 간단히 나타낸 것으 로 선은 되도록 곡선을 적게 하고, 각 회로 서로간의 간격을 충분히 넓게, 기호 및 문자는 깨끗하게 하여 이해하기에 편리하도록 한다. 배선 및 전기기구 등의 전기적인 관계를 나타낼 때도 사용한다. 단선결선도 또는 단선접속도라고도 한다."
2727,단속,전기회로의 연결 상태를 끊는 동작.
2728,단속가능부하,전기사업자가 공급계통에서 용량부족 등 불가피한 사정으로 인해 공급을 중단할 수 있도록 계약을 맺은 부하.
2729,단수냉방식,"강, 바다, 호수 또는 운하와 같은 수원의 물이 발전소 응축기를 통해 공급된 후 가열 상태에서 해당 수원으로 재방출되는 냉각시스템."
2730,바이어스 전류 또는 전력,지정된 환경하에서 지정된 저항치로 볼로미터를 동작시키는데 필요한 직류 혹은 교류의 전류 또는 전력.
2731,바이어스 조류,"직류계통에서 평상시 주파수제어 등을 행하는 경우에, 직류전력의 제어범위를 확보하기 위해 정상운전상태에서 최소로 필요로하는 직류전력조류."
2732,바이오매스,"바이오매스(Biomass)는 식물이나 미생물 등을 에너지원으로 이용하는 생물체 및 그들의 활동에 수반하여 생성되는 유기 물질을 말함. 해마다 전 세계에서 소비하는 총에너지의 17배에 해당하는 에너지가 광합성에 의해서 녹색 에너지로 저장되고 있으며, 바이오매스로부터 에너지 자원을 획득하는 데는 발효 기술의 응용이 필요하며, 이미 일부에서는 바이오메스로부터 자동차용 연료로 사용할 알코올을 생산하여 활용하고 있음."
2733,바이오메스,식물이나 동물의 배설물로 부터 생성되는 신재생에너지를 의미함
2734,바이오에너지,각종 유기성 생물체를 변환시켜 얻어지는 기체ㆍ액체 또는 고체의 연료를 연소 또는 변환시켜 생산하는 에너지
2735,"바이코니칼 안테나, 쌍원추형(雙圓錐形) 안테나"," 공통 축과 정점을 가지고 서로 반대 방향으로 배치된 쌍 원추형 도체로 구성된 안테나. 주 : 1) 바이코니칼 안테나에서 급전은 공통 정점에 공급된다. 2) 만약 한쪽 원추가 평면형태로 되면, 이 안테나를 디스콘 안테나라고 한다. <br> ☞ discon antenna : 디스콘 안테나<br> An antenna consisting of two conical conductors, having a common axis and vertex, and extending in opposite directions.  Note 1 : In a biconical antenna, excitation is applied at the common vertex. Note 2: If one of the cones is reduced to a plane, the antenna is called a discone. IEEE (AP) 145-1993"
2736,바이파일러 현수,"1.1차 송전선과 2차 송전선을 인접 시켜서, 결합 계수가 거의 1로 되어서 밀결합된 송전선. 2.진공검류계 가동부를 두개의 가는 금속선으로 내린 것."
2737,바이패스스위치,전력변환장치를 개별적으로 시동하고 정지하기위해 변환 브리지에 병렬로 접속시킨 스위치.
2738,바텍스,"전지지도를 결정할 때, 규준으로 사용된다. 지도측정 경간의 한쪽의 철탑에 설치한다. 지도 측정자는 그 경간의 다른 한편의 철탑상에서 정확한 전 선 이완도를 결정하기 위한 규준으로 사용한다."
2739,박막 기술(薄膜 技術), 진공증착을 이용하여 절연 기판상에 박막(수 백에서 수 천 Å 두께)을 형성시키는 기술.  이 박막 기술을 이용하여 자성 재료의 박막을 기억소자의 집합체로서 사용하는 자성 박막 기억 장치를 만들거나 후막보다도 성능이 한층 높은 박막 저항을 만들 수 있다.<br> ☞ thick film technology : 후막 기술<br> A technology in which a thin film (a few hundred to a few thousand angstroms in thickness) is applied by vacuum deposition to an insulating substrate. IEEE 100-1996
2740,반 매입형,취부한 계전기가 전면으로 돌출한 부분이 매입형의 제한치를 초과하며 표면형에는 속하지 않는 중간 취부 방식(계전기 특성 용어)
2741,반광택 페인트나 에나멜,다소 불충분한 비휘발성 용매로 제조된 페인트나 에나멜. 이 코팅이 건조되면 약간의 광택은 있으나 매우 번쩍이지는 않는다.
2742,반내장애자,"전선에 대해 각각 45도의 바른 각도를 갖는 애자 장치. 이들의 부품은 송전선의 중간 부분에 이용되며, 와이어가 절단된 경우 전선이 크게 이동하 지 않도록 연결하는 역할을 한다."
2743,반동,"접점의 폐로 또는 개로시 접점이 불필요하게 개폐를 반복하는 현상을 말한다. 그 원인이 반복하는 현상을 말한다.그 원인이 주로 국부적인 접촉부의 진동에 기인하는 비교적 짧은 주기로 개폐를 반복하는 현상을 채터링이라 하고, 전반적인 가동부의 진동에 기인하는 비교적 긴 주기로 접점개폐를 반복 하는 현상을 바운싱이라 한다."
2744,반사(反射)," 두 개의 서로 다른 매질 사이의 경계에서 파면(波面)방향의 급격한 변화로 인해 원래 매질로 파면이 되돌아가는 현상. 주 : 1) 반사는 경계면의 특성에 따라 경면(예를 들면, 거울과 같은)반사 또는 확산(예를 들면, 영상을 갖지 않고 에너지만을 갖는)반사가 있다. 2) 유전체-도체 또는 유전체-유전체와 같은 경계면의 특성에 따라 반사파의 위상이 바뀌거나 바뀌지 않을 수 있다.<br> ☞ deflection : 굴절(屈折)<br> The abrupt change in direction of a wave front at an interface between two dissimilar media so that the wave front returns into the medium from which it originated. Note 1: Reflection may be specular (i.e., mirror-like) or diffuse (i.e., not retaining the image, only the energy) according to the nature of the interface. Note 2: Depending on the nature of the interface, i.e., dielectric-conductor or dielectric-dielectric, the phase of the reflected wave may or may not be inverted. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
